fecha,descripcion,monto
2025-06-03,Venta cliente web,145000
2025-06-07,Pago proveedor insumos,-52000
2025-06-12,Comisión pasarela de pago,-3200
2025-06-18,Venta plan mensual,89000
2025-06-25,Sueldo colaborador,-420000
2025-06-28,Suscripción software,-29900
2025-07-02,Venta cliente web,210000
2025-07-09,Pago proveedor insumos,-61000
2025-07-15,Venta evento,320000
2025-07-20,Publicidad Meta Ads,-80000
2025-07-27,Sueldo colaborador,-420000
2025-07-30,Comisión pasarela de pago,-5100
2025-08-04,Venta cliente web,175000
2025-08-11,Pago arriendo,-150000
2025-08-16,Venta plan anual,540000
2025-08-22,Publicidad Google Ads,-95000
2025-08-27,Sueldo colaborador,-420000
2025-08-29,Suscripción software,-29900
